frequency;amplitude
3386000000;-103,2
3387000000;-103,0
3388000000;-103,4
3389000000;-103,4
3390000000;-103,2
3391000000;-103,5
3392000000;-103,5
3393000000;-103,5
3394000000;-103,5
3395000000;-103,4
3396000000;-103,4
3397000000;-103,1
3398000000;-103,0
3399000000;-103,2
3400000000;-105,8
3401000000;-105,8
3403000000;-105,7
3404000000;-105,7
3405000000;-105,5
3406000000;-105,6
3407000000;-105,6
3408000000;-105,7
3409000000;-105,9
3410000000;-105,9
3411000000;-105,7
3412000000;-105,3
3413000000;-105,9
3414000000;-105,9
3415000000;-105,5
3416000000;-105,5
3417000000;-105,2
3418000000;-105,2
3419000000;-105,5
3420000000;-105,5
3421000000;-105,6
3422000000;-105,6
3423000000;-105,1
3424000000;-105,5
3425000000;-106,2
3426000000;-106,2
3427000000;-105,5
3428000000;-105,5
3429000000;-105,5
3430000000;-105,8
3431000000;-105,8
3432000000;-105,8
3433000000;-105,8
3434000000;-106,1
3435000000;-106,1
3436000000;-105,6
3437000000;-105,4
3438000000;-105,9
3439000000;-105,9
3440000000;-105,3
3441000000;-104,9
3442000000;-105,9
3443000000;-105,9
3444000000;-105,3
3445000000;-105,6
3446000000;-105,6
3447000000;-105,3
3448000000;-105,4
3449000000;-105,4
3450000000;-105,6
3451000000;-105,8
3452000000;-105,8
3453000000;-106,1
3454000000;-106,1
3455000000;-105,7
3456000000;-105,6
3457000000;-105,5
3458000000;-105,8
3459000000;-105,9
3460000000;-105,9
3461000000;-105,8
3462000000;-105,7
3463000000;-105,9
3464000000;-105,9
3465000000;-105,6
3466000000;-105,6
3467000000;-105,9
3468000000;-105,9
3469000000;-105,7
3470000000;-106,2
3471000000;-106,2
3472000000;-105,5
3473000000;-105,9
3474000000;-105,9
3475000000;-105,7
3476000000;-105,7
3477000000;-105,7
3478000000;-105,7
3479000000;-105,7
3480000000;-106,1
3481000000;-106,1
3482000000;-105,6
3483000000;-105,5
3484000000;-105,3
3485000000;-105,9
3486000000;-105,9
3487000000;-105,5
3488000000;-105,5
3489000000;-105,3
3490000000;-105,4
3491000000;-105,8
3492000000;-105,8
3493000000;-105,6
3494000000;-105,8
3495000000;-105,8
3496000000;-105,7
3497000000;-105,7
3498000000;-105,4
3499000000;-105,4
3500000000;-105,4
3501000000;-105,0
3502000000;-103,3
3503000000;-102,8
3504000000;-103,0
3505000000;-103,2
3506000000;-103,2
3507000000;-103,3
3508000000;-103,3
3509000000;-102,8
3510000000;-102,8
3511000000;-102,9
3512000000;-102,9
3513000000;-102,8
3514000000;-103,2
3515000000;-103,2
3516000000;-103,3
3517000000;-103,3
3518000000;-103,1
3519000000;-103,4
3520000000;-103,4
3521000000;-103,5
3266000000;-103,5
3267000000;-103,5
3268000000;-103,1
3269000000;-103,1
3270000000;-102,8
3271000000;-103,1
3272000000;-103,1
3273000000;-103,1
3274000000;-103,4
3275000000;-103,4
3276000000;-103,0
3277000000;-103,2
3278000000;-103,4
3279000000;-103,4
3280000000;-103,1
3281000000;-103,1
3282000000;-103,3
3283000000;-103,3
3284000000;-102,6
3285000000;-102,6
3286000000;-102,6
3287000000;-103,3
3288000000;-103,3
3289000000;-103,2
3290000000;-103,2
3291000000;-102,7
3292000000;-103,0
3293000000;-103,0
3294000000;-102,9
3295000000;-103,2
3296000000;-103,2
3297000000;-102,3
3298000000;-102,9
3299000000;-103,4
3300000000;-103,4
3301000000;-103,2
3302000000;-102,8
3303000000;-103,1
3304000000;-103,1
3305000000;-103,3
3306000000;-103,3
3307000000;-103,0
3308000000;-103,0
3309000000;-103,0
3310000000;-102,9
3311000000;-103,1
3312000000;-103,1
3313000000;-103,0
3314000000;-103,0
3315000000;-103,4
3316000000;-103,4
3317000000;-103,4
3318000000;-103,4
3319000000;-103,3
3320000000;-103,3
3321000000;-102,8
3322000000;-102,8
3323000000;-102,6
3324000000;-102,6
3325000000;-103,1
3326000000;-103,1
3327000000;-103,0
3328000000;-102,9
3329000000;-103,6
3330000000;-103,6
3331000000;-103,0
3332000000;-103,3
3333000000;-103,3
3334000000;-103,1
3335000000;-103,0
3336000000;-102,6
3337000000;-102,8
3338000000;-102,8
3339000000;-102,8
3340000000;-103,0
3341000000;-103,0
3342000000;-102,5
3343000000;-102,9
3344000000;-103,2
3345000000;-103,2
3346000000;-103,1
3347000000;-103,1
3348000000;-102,5
3349000000;-103,2
3350000000;-103,2
3351000000;-102,6
3352000000;-102,9
3353000000;-102,9
3354000000;-103,2
3355000000;-103,2
3356000000;-103,0
3357000000;-103,0
3358000000;-102,9
3359000000;-102,8
3360000000;-102,8
3361000000;-103,0
3362000000;-103,2
3363000000;-103,2
3364000000;-103,2
3365000000;-103,2
3366000000;-102,6
3367000000;-102,9
3368000000;-102,9
3369000000;-103,0
3370000000;-103,1
3371000000;-103,4
3372000000;-103,4
3373000000;-103,2
3374000000;-103,5
3375000000;-103,5
3376000000;-103,3
3377000000;-103,2
3378000000;-103,2
3379000000;-103,0
3380000000;-103,1
3381000000;-103,4
3382000000;-103,4
3383000000;-103,1
3384000000;-103,1
3385000000;-103,1
3386000000;-102,9
3387000000;-102,9
3388000000;-103,5
3389000000;-103,5
3390000000;-103,3
3391000000;-102,6
3392000000;-102,8
3393000000;-102,8
3394000000;-103,1
3395000000;-103,7
3396000000;-103,7
3397000000;-103,2
3398000000;-103,2
3399000000;-102,8
3400000000;-102,9
3401000000;-102,9
3658000000;-102,9
3659000000;-102,9
3660000000;-103,2
3661000000;-103,2
3662000000;-102,9
3663000000;-103,4
3664000000;-103,4
3665000000;-103,2
3666000000;-103,1
3667000000;-103,3
3668000000;-103,3
3669000000;-102,9
3670000000;-103,1
3671000000;-103,1
3672000000;-102,9
3673000000;-102,9
3674000000;-103,2
3675000000;-103,2
3676000000;-102,7
3677000000;-102,5
3678000000;-102,9
3679000000;-103,3
3680000000;-103,3
3681000000;-102,9
3682000000;-102,8
3683000000;-103,2
3684000000;-103,5
3685000000;-103,5
3686000000;-103,1
3687000000;-102,7
3688000000;-103,3
3689000000;-103,3
3690000000;-103,3
3691000000;-103,3
3692000000;-102,8
3693000000;-102,8
3694000000;-103,4
3695000000;-103,4
3696000000;-103,4
3697000000;-103,3
3698000000;-103,3
