Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2000000000.0,-82.5,-82.5,-82.4
2001000000.0,-82.6,-82.5,-82.5
2002000000.0,-82.5,-82.2,-82.6
2003000000.0,-82.3,-82.5,-82.4
2004000000.0,-82.1,-82.1,-82.0
2005000000.0,-82.0,-82.0,-82.0
2006000000.0,-81.7,-81.9,-81.8
2007000000.0,-81.8,-81.9,-81.6
2008000000.0,-81.8,-81.7,-81.8
2009000000.0,-81.6,-81.6,-81.5
2010000000.0,-81.5,-81.4,-81.5
2011000000.0,-81.2,-81.5,-81.4
2012000000.0,-81.4,-81.6,-81.3
2013000000.0,-81.2,-81.4,-81.4
2014000000.0,-81.3,-81.3,-81.4
2015000000.0,-81.3,-81.3,-81.4
2016000000.0,-81.3,-81.4,-81.3
2017000000.0,-81.3,-81.4,-81.3
2018000000.0,-81.5,-81.5,-81.4
2019000000.0,-81.7,-81.8,-81.3
2020000000.0,-81.6,-81.5,-81.5
2021000000.0,-81.9,-82.0,-81.7
2022000000.0,-82.1,-81.9,-81.7
2023000000.0,-81.9,-81.9,-81.9
2024000000.0,-82.2,-82.3,-82.1
2025000000.0,-82.4,-82.4,-82.2
2026000000.0,-82.3,-82.3,-82.5
2027000000.0,-82.5,-82.6,-82.6
2028000000.0,-82.8,-82.9,-82.9
2029000000.0,-82.8,-82.9,-83.1
2030000000.0,-83.0,-82.9,-83.0
2031000000.0,-83.2,-83.2,-83.4
2032000000.0,-83.7,-83.4,-83.5
2033000000.0,-83.6,-83.6,-83.8
2034000000.0,-84.0,-83.9,-83.7
2035000000.0,-84.2,-84.1,-84.2
2036000000.0,-84.4,-84.0,-84.0
2037000000.0,-84.3,-84.1,-84.5
2038000000.0,-84.4,-84.4,-84.6
2039000000.0,-84.7,-84.4,-84.6
2040000000.0,-84.6,-84.6,-84.4
2041000000.0,-84.7,-84.9,-84.4
2042000000.0,-85.0,-85.0,-85.1
2043000000.0,-85.1,-84.9,-85.1
2044000000.0,-84.9,-85.1,-84.7
2045000000.0,-85.2,-84.9,-85.0
2046000000.0,-85.1,-85.2,-84.9
2047000000.0,-84.8,-85.1,-84.8
2048000000.0,-85.3,-85.0,-84.9
2049000000.0,-85.2,-85.0,-85.0
2050000000.0,-84.7,-85.1,-84.9
2051000000.0,-85.0,-85.1,-84.9
2052000000.0,-85.1,-85.1,-85.1
2053000000.0,-84.9,-84.6,-84.8
2054000000.0,-84.7,-85.0,-84.5
2055000000.0,-84.9,-84.8,-84.9
2056000000.0,-84.2,-84.7,-84.4
2057000000.0,-84.4,-84.4,-84.4
2058000000.0,-84.5,-84.4,-84.3
