amplitude,frequency
-103.5,3386000000
-103.1,3387000000
-102.9,3388000000
-102.9,3389000000
-103.2,3390000000
-103.2,3391000000
-103.2,3392000000
-103.2,3393000000
-103.3,3394000000
-103.8,3395000000
-103.8,3396000000
-103.5,3397000000
-103.3,3398000000
-103.4,3399000000
-105.4,3400000000
-105.4,3401000000
-105.5,3403000000
-105.5,3404000000
-106.1,3405000000
-106.1,3406000000
-105.5,3407000000
-105.9,3408000000
-105.9,3409000000
-105.7,3410000000
-105.7,3411000000
-105.2,3412000000
-105.3,3413000000
-105.8,3414000000
-105.8,3415000000
-105.5,3416000000
-105.5,3417000000
-105.0,3418000000
-105.0,3419000000
-105.5,3420000000
-105.5,3421000000
-105.8,3422000000
-105.8,3423000000
-105.8,3424000000
-105.8,3425000000
-105.8,3426000000
-105.6,3427000000
-105.6,3428000000
-105.4,3429000000
-105.8,3430000000
-105.8,3431000000
-106.0,3432000000
-106.0,3433000000
-105.8,3434000000
-105.6,3435000000
-105.6,3436000000
-105.4,3437000000
-105.7,3438000000
-106.0,3439000000
-106.0,3440000000
-105.3,3441000000
-105.2,3442000000
-106.0,3443000000
-106.1,3444000000
-106.1,3445000000
-105.4,3446000000
-106.1,3447000000
-106.1,3448000000
-105.8,3449000000
-105.8,3450000000
-105.9,3451000000
-105.9,3452000000
-105.7,3453000000
-105.7,3454000000
-106.0,3455000000
-106.0,3456000000
-105.3,3457000000
-105.7,3458000000
-105.9,3459000000
-105.9,3460000000
-105.6,3461000000
-106.0,3462000000
-106.0,3463000000
-106.0,3464000000
-105.2,3465000000
-105.5,3466000000
-105.5,3467000000
-105.5,3468000000
-105.5,3469000000
-105.4,3470000000
-105.7,3471000000
-106.0,3472000000
-106.0,3473000000
-105.0,3474000000
-105.3,3475000000
-105.3,3476000000
-105.8,3477000000
-105.8,3478000000
-105.9,3479000000
-105.9,3480000000
-105.9,3481000000
-105.9,3482000000
-106.1,3483000000
-106.1,3484000000
-105.7,3485000000
-105.7,3486000000
-105.4,3487000000
-105.6,3488000000
-105.6,3489000000
-105.5,3490000000
-105.8,3491000000
-105.8,3492000000
-105.8,3493000000
-105.2,3494000000
-105.7,3495000000
-105.9,3496000000
-105.9,3497000000
-105.8,3498000000
-105.8,3499000000
-105.8,3500000000
-104.7,3501000000
-103.3,3502000000
-103.3,3503000000
-103.1,3504000000
-103.1,3505000000
-103.1,3506000000
-103.0,3507000000
-103.1,3508000000
-103.1,3509000000
-102.6,3510000000
-102.6,3511000000
-103.4,3512000000
-103.4,3513000000
-103.0,3514000000
-103.0,3515000000
-103.2,3516000000
-103.2,3517000000
-103.1,3518000000
-103.1,3519000000
-103.4,3520000000
-103.4,3521000000
-103.3,3266000000
-103.1,3267000000
-102.8,3268000000
-102.8,3269000000
-102.8,3270000000
-102.8,3271000000
-103.1,3272000000
